阿姨 (Ā yí),auntie (maternal family)
爱 (ài),to love
矮 (ǎi),short (height)
爱好 (ài hào),hobby
安静 (ān jìng),quiet
安全 (ān quán),safe
安全带 (ān quán dài),seat belt
爸爸 (bà ba),dad
白 (bái),white
办公室 (bàn gōng shì),office
报纸 (bào zhǐ),newspaper
杯 (bēi),for cups, cup/glass
背景 (bèi jǐng),background
北美洲 (běi měi zhōu),North America
本 (běn),for books
比 (bǐ),to compare
笔 (bǐ),pen
比较好 (bǐ jiào hǎo),quite good
比较喜欢 (bǐ jiào xǐ huān),to prefer
比赛 (bǐ sài),competition
毕业 (bìyè),to graduate
笔友 (bǐ yǒu),pen friend/ pen pal
...比...好 (...bǐ...hǎo),...is better than...
鞭炮 (biān pào),firecrackers
病 (bìng),illness
冰箱 (bīng xiāng),fridge
博客 (bó kè),blog
博物馆 (bó wù guǎn),museum
不 (bù),not
不对 (bú duì),that's not right/correct
不过 (bú guò),however
不...了 (bù...le),no longer
菜单 (cài dān),menu
参观 (cān guān),to visit
参观博物馆 (cān guān bó wù guǎn),to visit a museum
参加 (cān jiā),to participate, to take part in
操场 (cāo chǎng),playing field
厕所 (cè suǒ),toilet
茶 (chá),tea
差不多 (chà bù duō),about/roughly
常常 / 经常 (cháng cháng/jīng cháng),often
长城 (cháng chéng),Great Wall
唱歌 (chàng gē),to sing
吵 (chǎo),noisy
超市 (chāo shì),supermarket
超重 (chāo zhòng),overweight
衬衣 (chèn yī),shirt
橙 (chéng),orange
成功 (chéng gōng),to succeed
成人 (chéng rén),adult/grown-up
城市 (chéng shì),city
吃 (chī),to eat
尺子 (chǐ zi),ruler
宠物 (chǒng wù),pet
抽烟 / 吸烟 (chōu yān/xī yān),to smoke
出发 (chū fā),departure
厨房 (chú fáng),kitchen
出口 (chū kǒu),exit (building)
除了...以外 (chú le.....yǐ wài),apart from...and also...
出生地点 (chū shēng dì diǎn),place of birth
出生日期 (chū shēng rì qí),date of birth
厨师 (chú shī),chef/cook
出租车 (chū zū chē),taxi
船 (chuán),ship
穿 (chuān),to wear (clothes)
床 (chuáng),bed
春节 / 中国新年 (chūn jié / zhōng guó xīn nián),Chinese New Year
春天 (chūn tiān),spring
聪明 (cōng ming),clever/intelligent
从哪儿 (cóng nǎ'er),where from?
打电话 (dǎ diàn huà),to make a telephone call
打太极拳 (dǎ tài jí quán),To practice taiqi
大学 (dà xué),University
大学生 (dà xué shēng),University student
打羽毛球 (dǎ yǔ máo qiú),To play badminton
打字 (dǎ zì),To type
戴 (dài),To wear (accessories)
单程票 (dān chéng piào),Single ticket
蛋糕 (dàn gāo),Cake
单人房 (Dān rén fáng),Single room
到底 (dào dǐ),In the end
到达 (dào dá),Arrival
德国 (Dé guó),Germany
得奖牌 (dé jiǎng pái),To win a medal
...的时候 (...de she hòu),When
等 (děng),To wait for
灯 (dēng),Light
登记表 (dēng jì biǎo),Registration form
灯笼 (dēng lóng),Lantern
弟弟 (dì di),Younger brother
第二 (dì èr),Secondly
地理 (dì lǐ),Geography
第三 (dì sān),Thirdly
地铁 (dì tiě),Underground
地铁站 (dì tiě zhàn),Underground station
地图 (dì tú),Map
第一 (dì yī),Firstly
地址 (dì zhǐ),Address
点 (diǎn),O'clock, to order food
电话 (diàn huà),Telephone
电话号码 (diàn huà hào mǎ),Telephone number
电脑 (diàn nǎo),Computer, IT
电视 (diàn shì),TV
电视节目(diàn shì jié mù),TV programme
电视剧 (diàn shì jù),TV drama
点心 (diǎn xīn),Snack/dim sum
电影院 (diàn yǐng yuàn),Cinema
电子邮件 ( diàn zǐ yóu jiàn),email
钓鱼 (diào yú),To go fishing
订飞机票 (dìng fēi jī piào),To book a flight ticket
丢 (diū),To lose
懂/明白 (dǒng/ míng bai),To understand
动画片 (dòng huà piàn),Cartoon
冬天 (dōng tiān),Winter
动物园 (dòng wù yuán),Zoo
度假 (dù jià),To have a holiday
毒品 (dú pǐn),Drugs
独生子 (dú shēng zǐ),Only child
端午节 (duān wǔ jié),Dragon boat festival
对不起/没关系 (duì bu qǐ/ méi guān xi),Sorry/ it's okay
对面 (duì miàn),Opposite
对...有兴趣 (duì...yǒu xìng qù),To be interested in...
队员 (duì yuán),Team member
多 (duō),Many
多大 (duō dà),How old?
多久/多长时间 (duō jiǔ/ duō cháng shí jiān),How long? (Time)
多少/几 (duō shǎo/ jǐ),How much/many?
多长 (duō cháng),How long? (length)
饿 (è),Hungry
耳朵 (ěr duo),Ears
而且 (ér qiě),Moreover
儿子 (ér zi),Son
发 (fā),To send (an email)
法国 (fǎ guó),France
法文 (fǎ wén),French
反对 (fǎn duì),(to be) against/opposed to something
饭馆 (fàn guǎn),Restaurant
饭厅 (fàn tīng),Dining room
方便 (fāng biàn),Convenient
放学 (fàng xué),To finish school
非常好 (fēi cháng hǎo),Excellent
飞机 (fēi jī),Plane
非洲 (fēi zhōu),Africa
粉红 (fěn hóng),Pink
分钟 (fēn zhōng),Minute
风险 (fēng xiǎn),Risk/hazard
富 (fù),Rich
复活节 (fù huó jié),Easter
附近 (fù jìn),Near by
父亲 (fù qīn),Father
服务员 (fú wù yuán),Waiter
复制 (fù zhì),To copy
干杯 (gān bēi),Cheers
干净 (gān jìng),Clean
感谢 (gǎn xiè),To thank
高 (gāo),Tall/high
